Female Selection Rate Before,Male Selection Rate Before,Female Selection Rate After,Male Selection Rate After,Demographic Parity Ratio Before,Demographic Parity Ratio After,Demographic Parity Difference Before,Demographic Parity Difference After
0.25,0.6111111111111112,0.6,0.6666666666666666,0.40909090909090906,0.9,0.36111111111111116,0.06666666666666665
0.15,0.4444444444444444,0.55,0.5555555555555556,0.3375,0.99,0.2944444444444444,0.005555555555555536
0.15,0.4444444444444444,0.6,0.5555555555555556,0.3375,0.925925925925926,0.2944444444444444,0.0444444444444444
0.15,0.4444444444444444,0.6,0.5555555555555556,0.3375,0.925925925925926,0.2944444444444444,0.0444444444444444
0.2,0.5,0.6,0.5555555555555556,0.4,0.925925925925926,0.3,0.0444444444444444
0.2,0.5,0.6,0.6111111111111112,0.4,0.9818181818181817,0.3,0.011111111111111183
0.2,0.5,0.6,0.5555555555555556,0.4,0.925925925925926,0.3,0.0444444444444444
0.2,0.5,0.6,0.5555555555555556,0.4,0.925925925925926,0.3,0.0444444444444444
0.25,0.6111111111111112,0.6,0.6666666666666666,0.40909090909090906,0.9,0.36111111111111116,0.06666666666666665
0.2,0.5,0.55,0.6111111111111112,0.4,0.9,0.3,0.061111111111111116
0.25,0.6666666666666666,0.65,0.7222222222222222,0.375,0.9,0.41666666666666663,0.07222222222222219
0.2,0.7222222222222222,0.6,0.6666666666666666,0.27692307692307694,0.9,0.5222222222222221,0.06666666666666665
0.25,0.6111111111111112,0.6,0.5555555555555556,0.40909090909090906,0.925925925925926,0.36111111111111116,0.0444444444444444
0.15,0.4444444444444444,0.6,0.6111111111111112,0.3375,0.9818181818181817,0.2944444444444444,0.011111111111111183
0.2,0.7222222222222222,0.45,0.4444444444444444,0.27692307692307694,0.9876543209876543,0.5222222222222221,0.005555555555555591
0.25,0.6666666666666666,0.4,0.4444444444444444,0.375,0.9000000000000001,0.41666666666666663,0.0444444444444444
0.2,0.5,0.7,0.6111111111111112,0.4,0.8730158730158731,0.3,0.0888888888888888
0.2,0.5,0.6,0.5555555555555556,0.4,0.925925925925926,0.3,0.0444444444444444
0.2,0.5,0.6,0.6666666666666666,0.4,0.9,0.3,0.06666666666666665
0.2,0.7222222222222222,0.65,0.5555555555555556,0.27692307692307694,0.8547008547008547,0.5222222222222221,0.09444444444444444
0.2,0.5,0.6,0.6111111111111112,0.4,0.9818181818181817,0.3,0.011111111111111183
0.25,0.6111111111111112,0.6,0.5555555555555556,0.40909090909090906,0.925925925925926,0.36111111111111116,0.0444444444444444
0.2,0.5,0.55,0.5,0.4,0.9090909090909091,0.3,0.050000000000000044
0.15,0.4444444444444444,0.45,0.5,0.3375,0.9,0.2944444444444444,0.04999999999999999
0.2,0.5555555555555556,0.6,0.4444444444444444,0.36,0.7407407407407407,0.35555555555555557,0.15555555555555556
0.25,0.6111111111111112,0.65,0.5555555555555556,0.40909090909090906,0.8547008547008547,0.36111111111111116,0.09444444444444444
0.25,0.6666666666666666,0.65,0.5555555555555556,0.375,0.8547008547008547,0.41666666666666663,0.09444444444444444
0.25,0.6666666666666666,0.6,0.6111111111111112,0.375,0.9818181818181817,0.41666666666666663,0.011111111111111183
0.25,0.6666666666666666,0.65,0.6666666666666666,0.375,0.9750000000000001,0.41666666666666663,0.016666666666666607
0.2,0.5,0.4,0.4444444444444444,0.4,0.9000000000000001,0.3,0.0444444444444444
